series_id,model,mean_smape,std_smape
0,AutoTheta (Local Stat),23.383802944487112,2.9236714402741226
0,CatBoost (Direct ML),4.787929591842341,0.7812333290479292
0,Stacking Ensemble,13.540010606035224,2.3498632177055794
1,AutoTheta (Local Stat),22.739382823307015,0.6349455319680986
1,CatBoost (Direct ML),5.3701962209127645,2.224808741357803
1,Stacking Ensemble,14.050704399377475,1.0333523130890792
2,AutoTheta (Local Stat),14.996370279633547,2.8519022580318745
2,CatBoost (Direct ML),6.940598009085595,1.0747507551958213
2,Stacking Ensemble,10.805392448895795,1.1988267910835622
3,AutoTheta (Local Stat),22.003954999429805,0.7449941844130036
3,CatBoost (Direct ML),3.2602604293986843,0.8803231329693684
3,Stacking Ensemble,11.99298442859832,0.7948927512197237
4,AutoTheta (Local Stat),32.7397467296118,2.526792974780365
4,CatBoost (Direct ML),7.945022455985967,4.5069552214924755
4,Stacking Ensemble,19.66600975997554,1.0860538758866116
5,AutoTheta (Local Stat),23.35783384657353,1.6782772498498915
5,CatBoost (Direct ML),4.335643937102996,0.9646533648353309
5,Stacking Ensemble,13.216819588258952,0.9262591966605316
6,AutoTheta (Local Stat),20.688389973175543,2.1361148142841815
6,CatBoost (Direct ML),4.965036121109328,1.3285719022027007
6,Stacking Ensemble,12.255448948459298,0.7491446530035134
7,AutoTheta (Local Stat),18.822589396200097,1.5350407220126527
7,CatBoost (Direct ML),2.6936943866207663,0.44084485365658566
7,Stacking Ensemble,9.948597539683833,1.3878364281723137
8,AutoTheta (Local Stat),15.482619424186069,0.41523972534351833
8,CatBoost (Direct ML),4.081513028612313,0.7684986216067752
8,Stacking Ensemble,9.138990707234763,0.33153574571306954
9,AutoTheta (Local Stat),6.532822656548508,0.7614232736045469
9,CatBoost (Direct ML),3.273576024798691,0.8274290062121413
9,Stacking Ensemble,4.672812958484936,0.36075137795645873
10,AutoTheta (Local Stat),22.248871459331003,0.32720255517057933
10,CatBoost (Direct ML),5.434156621044379,1.7321608211435082
10,Stacking Ensemble,12.925809763202677,0.7209349516908486
11,AutoTheta (Local Stat),21.041860138255327,1.486954642878563
